Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Afghanistan,2020,34,68,0,0,0,0,49,9,3,0,0,0,0,49,2,1,0,0,0,0,51,28,9
Albania,2020,41,20,48,9,4,35,16,4,79,54,21,9,23,39,8,53,44,2,0.5,42,2,2,96
Algeria,2020,28,2,18,4,0.5,14,3,6,88,23,12,0.5,10,9,18,64,16,0.5,0.5,15,0.5,1,97
American Samoa,2020,-14,-17,0,0,0,23,11,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,2020,43,2,100,0.5,0.5,100,0.5,0,100,100,0.5,0.5,100,0.5,0,100,100,0.5,0.5,100,0.5,0,100
Angola,2020,-11,18,0,0,0,0,1,58,13,0,0,0,0,4,25,1,0,0,0,0,0.5,75,19
Argentina,2020,-38,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,6,30,12,22,66
Armenia,2020,40,45,69,11,8,51,21,2,71,0,0,0,16,56,6,22,71,0.5,0.5,71,0.5,0.5,100
Australia,2020,-25,13,74,0.5,0.5,74,0.5,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2020,48,15,100,4,4,93,1,6,93,100,7,7,84,0.5,15,84,100,0.5,0.5,98,2,0.5,98
Azerbaijan,2020,40,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0.5,4,7,5,88
Bahrain,2020,44,18,91,0.5,0.5,91,0.5,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2020,24,90,39,36,0.5,3,49,20,9,42,42,0.5,0.5,57,16,0.5,34,26,0.5,7,35,27,23
Barbados,2020,13,-60,0,0,0,0,92,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2020,54,28,74,9,4,61,14,11,74,49,27,0.5,22,41,31,26,80,4,5,71,7,7,86
Belgium,2020,51,5,89,0.5,0.5,89,0.5,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,2020,17,-89,0,0,0,0,25,64,9,0,0,0,0,39,56,0.5,0,0,0,0,8,73,18
Benin,2020,9,2,0,0,0,0,31,4,0.5,0,0,0,0,17,0.5,0.5,0,0,0,0,46,8,2
Bermuda,2020,32,-65,0,0,0,2,95,0,5,0,0,0,0,0,0,0,0,0,0,2,95,0,5
Bhutan,2020,28,90,65,49,1,15,8,61,18,67,62,0.5,5,13,65,5,63,31,3,29,0.5,56,35
Bolivia (Plurinational State of),2020,-16,-64,53,10,9,33,20,13,50,0,0,0,5,34,8,6,60,8,7,45,13,15,69
Botswana,2020,-22,25,0,0,0,0,79,5,1,0,0,0,0,60,3,0.5,0,0,0,0,87,6,2
Brazil,2020,-14,-52,49,7,4,38,8,13,69,0,0,0,5,26,29,9,51,5,3,43,5,11,78
Bulgaria,2020,43,26,72,3,3,67,0.5,14,86,60,9,8,43,0.5,42,58,76,0.5,0.5,74,0.5,5,95
Burkina Faso,2020,12,-2,0,0,0,0,51,2,0.5,0,0,0,0,38,0.5,0.5,0,0,0,0,83,6,2
Burundi,2020,-3,30,0,0,0,0,54,4,0.5,0,0,0,0,54,0.5,0.5,0,0,0,0,57,28,2
Cambodia,2020,13,10,0,0,0,0,0.5,60,17,0,0,0,0,0.5,63,6,0,0,0,0,0.5,52,48
Cameroon,2020,7,12,0,0,0,0,46,13,1,0,0,0,0,27,1,0.5,0,0,0,0,60,22,2
Canada,2020,56,-10,84,0.5,14,70,6,11,81,84,2,29,53,2,35,62,84,0.5,10,74,7,6,86
Central African Republic,2020,7,21,14,14,0.5,0.5,30,0.5,0.5,6,6,0.5,0.5,12,0.5,0.5,24,24,0.5,0.5,53,0.5,0.5
Chad,2020,16,19,10,10,0.5,0.5,16,0.5,0.5,3,3,0.5,0.5,5,0.5,0.5,32,32,0.5,0.5,53,3,2
Chile,2020,-36,-72,79,3,3,73,2,9,89,0,0,0,16,14,66,20,81,0.5,0.5,81,0.5,2,98
China,2020,36,10,70,3,2,64,17,11,67,44,6,0.5,38,35,15,40,86,2,4,80,6,8,84
"China, Hong Kong SAR",2020,22,11,86,2,2,83,3,0,93,0,0,0,0,0,0,0,86,2,2,83,3,0,93
Colombia,2020,5,-74,18,5,0.5,12,3,16,78,0,0,0,2,11,64,13,17,2,0.5,15,1,5,93
Congo,2020,0,16,0,0,0,0,38,15,1,0,0,0,0,14,0.5,0.5,0,0,0,0,50,22,2
Cook Islands,2020,-21,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,2020,10,-84,30,21,0.5,9,0.5,77,21,37,34,0.5,2,0.5,92,5,29,18,0.5,11,0.5,74,25
Côte d'Ivoire,2020,8,-6,0,0,0,0,33,17,7,0,0,0,0,27,7,1,0,0,0,0,39,27,12
Croatia,2020,45,15,68,11,9,47,5,36,58,0,0,0,23,8,61,29,76,6,5,65,3,17,79
Cuba,2020,22,-78,37,19,0.5,16,16,16,61,51,44,0.5,7,37,22,27,32,12,1,19,10,14,71
Cyprus,2020,35,33,77,11,11,55,0.5,45,55,0,0,0,18,0.5,81,18,86,7,7,73,0.5,27,73
Czech Republic,2020,50,16,85,0.5,0.5,85,0.5,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,2020,40,12,0,0.5,0,0,32,11,42,1,0.5,0.5,0.5,55,17,2,0,1,0,0,19,7,67
Democratic Republic of the Congo,2020,0,16,13,13,0.5,0.5,26,9,0.5,11,11,0.5,0.5,20,0.5,0.5,15,14,0.5,0.5,33,20,0.5
Denmark,2020,56,10,92,0.5,0.5,92,0.5,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,2020,12,43,37,35,0.5,2,57,11,5,21,21,0.5,0.5,24,0.5,0.5,42,39,0.5,3,67,15,7
Dominican Republic,2020,19,-70,0,0,0,0,11,69,16,0,0,0,0,31,57,3,0,0,0,0,7,71,19
Ecuador,2020,-2,-78,42,25,0.5,17,5,27,67,60,53,0.5,7,14,54,28,31,9,0.5,22,0.5,12,88
Egypt,2020,27,31,67,7,5,55,3,21,74,63,12,9,42,6,37,55,73,0.5,0.5,73,0.5,0.5,100
El Salvador,2020,14,-89,0,0,0,2,36,20,43,0,0,0,0.5,74,23,0.5,17,14,0.5,2,23,19,58
Estonia,2020,59,25,93,5,5,84,10,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2020,9,41,7,6,0.5,0.5,14,2,0.5,4,4,0.5,0.5,8,0.5,0.5,16,15,0.5,0.5,40,10,3
Falkland Islands (Malvinas),2020,-52,-60,0,0,0,0,0.5,0,100,0,0,0,0,0.5,0,100,0,0,0,0,0.5,0,100
Fiji,2020,-17,17,0,0,0,0,16,63,21,0,0,0,0,31,68,1,0,0,0,0,6,59,35
Finland,2020,62,26,84,0.5,0.5,84,0.5,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020,46,2,79,0.5,0.5,79,0.5,18,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,2020,4,-53,0,0,0,0,8,38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,2020,-18,-14,0,0,0,0,0.5,78,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,2020,-1,12,0,0,0,0,45,0,34,0,0,0,0,46,0,9,0,0,0,0,45,0,37
Gambia,2020,13,-15,29,28,0.5,0.5,36,23,2,24,24,0.5,0.5,32,2,0.5,32,31,0.5,1,38,35,3
Georgia,2020,42,43,34,17,0.5,17,24,2,61,44,42,0.5,2,60,4,8,28,0.5,0.5,28,0.5,0.5,96
Germany,2020,51,11,97,1,1,95,0.5,3,96,92,5,5,82,3,14,83,99,0.5,0.5,99,0.5,0.5,100
Ghana,2020,8,-1,13,13,0.5,0.5,48,20,3,15,15,0.5,0.5,49,3,0.5,12,11,0.5,0.5,48,32,5
Gibraltar,2020,36,-5,0,0,0,0,0.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0.5,0,100
Greece,2020,39,22,92,4,4,85,0.5,15,85,0,0,0,42,0.5,57,43,97,0.5,0.5,95,0.5,4,96
Greenland,2020,72,-43,92,0.5,0.5,92,0.5,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,2020,17,-62,0,0,0,0,11,49,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2020,16,-90,0,0,0,0,25,10,44,0,0,0,0,39,12,16,0,0,0,0,13,7,70
Guinea,2020,10,-10,0,0,0,0,44,12,2,0,0,0,0,35,3,0.5,0,0,0,0,58,28,5
Guinea-Bissau,2020,12,-15,12,12,0.5,0.5,14,16,1,4,4,0.5,0.5,5,3,0.5,22,22,0.5,0.5,26,34,2
Guyana,2020,5,-59,0,0,0,0,27,66,2,0,0,0,0,34,61,0.5,0,0,0,0,9,81,8
Haiti,2020,19,-72,0,0,0,0,48,17,0.5,0,0,0,0,40,3,0.5,0,0,0,0,55,27,0.5
Honduras,2020,15,-86,50,34,2,14,25,27,41,71,69,0.5,2,48,34,6,35,9,3,23,9,21,67
Hungary,2020,47,20,88,4,4,80,0.5,16,84,81,9,9,63,0.5,36,64,91,2,2,86,0.5,8,92
Iceland,2020,65,-19,84,0.5,0.5,84,0.5,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020,21,79,46,42,0.5,4,35,36,13,51,50,0.5,0.5,46,28,1,37,27,0.5,11,13,51,34
Indonesia,2020,-1,11,0,0,0,0,5,76,11,0,0,0,0,6,67,14,0,0,0,0,5,83,10
Iran (Islamic Republic of),2020,32,54,0,0,0,30,63,1,36,0,0,0,0.5,99,1,0.5,0,0,0,40,51,1,47
Iraq,2020,33,44,43,25,0.5,18,8,62,30,44,39,0.5,5,10,82,8,42,19,0.5,24,7,54,39
Ireland,2020,53,-8,83,20,1,61,7,25,67,73,52,0.5,21,12,65,22,89,2,2,84,4,2,92
Israel,2020,31,35,95,0.5,0.5,95,0.5,0.5,100,93,1,1,91,0.5,4,95,95,0.5,0.5,95,0.5,0.5,100
Italy,2020,42,13,96,0.5,0.5,94,0.5,3,97,94,2,2,91,0.5,6,94,96,0.5,0.5,95,0.5,2,98
Jamaica,2020,18,-77,0,0,0,8,51,25,23,0,0,0,2,74,19,6,0,0,0,12,34,29,36
Japan,2020,36,13,81,0.5,2,79,2,18,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,2020,31,36,82,8,8,66,2,30,67,0,0,0,20,3,74,21,84,7,7,70,2,26,71
Kazakhstan,2020,48,67,0,0,0,36,54,9,37,0,0,0,2,90,7,2,91,15,15,60,27,10,63
Kenya,2020,0,38,0,0,0,0,47,5,6,29,29,0.5,0.5,47,1,0.5,0,0,0,0,48,16,20
Kiribati,2020,-3,-16,27,23,0.5,4,18,33,11,27,27,0.5,0.5,24,21,0.5,26,19,0.5,7,13,43,20
Kuwait,2020,29,48,100,0.5,0.5,100,0.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
