Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Afghanistan,2020      ,33.93911,67.709953,0,0,0,0,49,9,3,0.00,0.00,0.00,0.00,49.00,2.00,1.00,0.00,0.00,0.00,0.00,51.00,28.00,9.00
Albania,2020      ,41.153332,20.168331,48,9,4,35,16,4,79,54.00,21.00,9.00,23.00,39.00,8.00,53.00,44.00,2.00,0.50,42.00,2.00,2.00,96.00
Algeria,2020      ,28.033886,1.659626,18,4,0.5,14,3,6,88,23.00,12.00,0.50,10.00,9.00,18.00,64.00,16.00,0.50,0.50,15.00,0.50,1.00,97.00
American Samoa,2020      ,-14.270972,-170.132217,0,0,0,23,11,39,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andorra,2020      ,42.546245,1.601554,100,0.5,0.5,100,0.5,0,100,100.00,0.50,0.50,100.00,0.50,0.00,100.00,100.00,0.50,0.50,100.00,0.50,0.00,100.00
Angola,2020      ,-11.202692,17.873887,0,0,0,0,1,58,13,0.00,0.00,0.00,0.00,4.00,25.00,1.00,0.00,0.00,0.00,0.00,0.50,75.00,19.00
Argentina,2020      ,-38.416097,-63.616672,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,11.00,6.00,30.00,12.00,22.00,66.00
Armenia,2020      ,40.069099,45.038189,69,11,8,51,21,2,71,0.00,0.00,0.00,16.00,56.00,6.00,22.00,71.00,0.50,0.50,71.00,0.50,0.50,100.00
Australia,2020      ,-25.274398,133.775136,74,0.5,0.5,74,0.5,11,89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Austria,2020      ,47.516231,14.550072,100,4,4,93,1,6,93,100.00,7.00,7.00,84.00,0.50,15.00,84.00,100.00,0.50,0.50,98.00,2.00,0.50,98.00
Azerbaijan,2020      ,40.143105,47.576927,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,0.50,4.00,7.00,5.00,88.00
Bahrain,2020      ,43.915886,17.679076,91,0.5,0.5,91,0.5,9,91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,2020      ,23.684994,90.356331,39,36,0.5,3,49,20,9,42.00,42.00,0.50,0.50,57.00,16.00,0.50,34.00,26.00,0.50,7.00,35.00,27.00,23.00
